Farm_ID,Current_Crop,Farm_Area(acres),Irrigation_Type,Soil_Type,Season,Previous_Crop_1,Previous_Crop_2,Previous_Crop_3,Rotation_Health_Score,Fertilizer_Used(tons),Pesticide_Used(kg),Water_Usage(cubic meters),Yield(tons),Organic_Matter_Content(%),Soil_pH,Chemical_Free_Days,Sustainability_Score,Fertilizer_Category,Pesticide_Category,Current_Fertilizer,Current_Pesticide,Sustainable_Recommendations
F0026,Carrot,496.22,Flood,Loamy,Zaid,Maize,Wheat,Wheat,52.5,6.62,5.0,172173.99,140.34,3.2,7.28,100,11.13,Chemical,Organic,Urea,Neem Extract,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0027,Cotton,82.71,Manual,Peaty,Zaid,Cotton,Cotton,Wheat,35.0,1.53,0.7,21159.71,12.48,3.53,6.32,121,82.85,Chemical,Mixed,Urea,Integrated Pest Management,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0028,Cotton,315.45,Flood,Sandy,Kharif,Wheat,Soybean,Maize,80.0,9.17,1.71,84175.05,48.5,4.7,6.87,9,35.17,Mixed,Mixed,Urea + Compost,Limited Chemical + Neem,"{'fertilizer': 'Urea + Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0029,Wheat,307.21,Drip,Clay,Rabi,Soybean,Potato,Wheat,62.5,3.6,3.47,51532.13,91.64,4.26,7.22,64,42.33,Chemical,Organic,NPK,Biological Control,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0030,Tomato,492.23,Drip,Peaty,Kharif,Soybean,Soybean,Soybean,65.0,5.4,2.79,63492.52,276.8,3.27,6.82,242,38.4,Chemical,Chemical,MOP,Synthetic Insecticides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0031,Rice,295.55,Manual,Clay,Rabi,Legumes,Rice,Wheat,62.5,5.86,3.35,87165.73,92.19,2.07,5.57,288,28.35,Mixed,Chemical,DAP + Vermicompost,Synthetic Insecticides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0032,Cotton,486.46,Sprinkler,Sandy,Zaid,Cotton,Wheat,Maize,52.5,10.0,5.0,104033.96,68.59,1.97,6.0,201,6.44,Organic,Organic,Green Manure,Herbal Pesticides,"{'fertilizer': 'Green Manure', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0033,Cotton,242.57,Flood,Silty,Rabi,Soybean,Wheat,Maize,80.0,7.54,3.3,68250.54,28.68,3.5,7.34,76,28.13,Chemical,Mixed,Urea,Limited Chemical + Neem,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0034,Maize,347.56,Sprinkler,Clay,Rabi,Potato,Wheat,Wheat,52.5,8.75,2.53,62549.68,96.45,2.99,6.86,277,33.0,Chemical,Chemical,NPK,Chemical Herbicides,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0035,Soybean,270.35,Flood,Sandy,Zaid,Wheat,Soybean,Rice,72.5,6.84,2.12,80418.89,47.78,1.26,7.22,85,36.77,Chemical,Organic,NPK,Herbal Pesticides,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0036,Carrot,318.64,Rain-fed,Loamy,Zaid,Carrot,Carrot,Carrot,17.5,7.53,2.12,30334.09,138.67,1.21,5.69,82,48.85,Chemical,Chemical,Urea,Chemical Herbicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0037,Maize,294.02,Manual,Loamy,Rabi,Potato,Wheat,Soybean,80.0,8.77,3.6,64531.48,99.92,2.21,6.12,276,24.62,Chemical,Chemical,MOP,Synthetic Insecticides,"{'fertilizer': 'Compost', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0038,Carrot,301.57,Sprinkler,Sandy,Kharif,Maize,Maize,Maize,35.0,2.94,3.91,55718.98,102.47,4.3,6.8,98,40.79,Organic,Organic,Vermicompost,Biological Control,"{'fertilizer': 'Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0039,Potato,473.4,Manual,Clay,Zaid,Maize,Wheat,Wheat,52.5,10.0,4.02,100895.1,137.09,2.2,6.7,364,12.75,Chemical,Chemical,DAP,Synthetic Insecticides,"{'fertilizer': 'Compost', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0040,Cotton,268.8,Sprinkler,Silty,Kharif,Wheat,Cotton,Cotton,35.0,3.31,2.55,63885.41,41.59,2.53,6.35,125,47.21,Chemical,Chemical,DAP,Synthetic Insecticides,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0041,Tomato,457.87,Sprinkler,Clay,Zaid,Soybean,Soybean,Maize,72.5,10.0,4.8,74990.8,212.97,1.19,6.69,320,13.41,Mixed,Chemical,NPK + Bio-fertilizer,Synthetic Insecticides,"{'fertilizer': 'NPK + Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0042,Rice,32.69,Flood,Peaty,Rabi,Rice,Legumes,Maize,62.5,1.33,0.53,8102.18,12.01,1.43,6.2,32,89.49,Chemical,Organic,NPK,Neem Extract,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0043,Cotton,448.09,Sprinkler,Silty,Kharif,Wheat,Maize,Wheat,52.5,7.64,3.98,73817.57,75.66,2.87,7.36,240,22.6,Chemical,Chemical,MOP,Chemical Herbicides,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0044,Rice,440.43,Flood,Sandy,Kharif,Wheat,Legumes,Legumes,72.5,6.65,5.0,157978.66,170.9,3.82,6.12,200,11.15,Mixed,Chemical,NPK + Bio-fertilizer,Synthetic Insecticides,"{'fertilizer': 'NPK + Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0045,Maize,437.61,Rain-fed,Loamy,Rabi,Wheat,Wheat,Wheat,35.0,7.18,2.2,44622.24,126.41,4.11,5.88,167,43.74,Mixed,Chemical,DAP + Vermicompost,Chemical Fungicides,"{'fertilizer': 'DAP + Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0046,Maize,195.61,Drip,Loamy,Zaid,Potato,Maize,Wheat,52.5,2.35,2.61,32899.46,58.59,4.09,5.54,50,58.96,Chemical,Mixed,NPK,Integrated Pest Management,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0047,Carrot,426.02,Drip,Silty,Kharif,Maize,Maize,Carrot,35.0,10.0,4.02,55559.59,115.45,4.02,5.66,294,21.06,Mixed,Mixed,NPK + Bio-fertilizer,Limited Chemical + Neem,"{'fertilizer': 'NPK + Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0048,Wheat,284.59,Manual,Loamy,Rabi,Rice,Rice,Potato,52.5,5.59,2.12,71781.8,51.36,1.62,5.8,216,41.99,Organic,Chemical,Vermicompost,Chemical Fungicides,"{'fertilizer': 'Vermicompost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0049,Cotton,158.46,Rain-fed,Loamy,Kharif,Maize,Soybean,Wheat,80.0,4.16,0.98,15501.59,18.14,1.46,5.61,322,73.74,Organic,Chemical,Compost,Chemical Herbicides,"{'fertilizer': 'Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0050,Wheat,157.8,Manual,Clay,Zaid,Rice,Soybean,Wheat,62.5,3.46,1.14,32066.21,45.82,1.74,6.28,272,68.66,Chemical,Chemical,NPK,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0051,Cotton,330.37,Flood,Sandy,Kharif,Wheat,Cotton,Wheat,35.0,9.78,4.53,82993.27,57.03,4.93,6.0,298,14.54,Chemical,Mixed,Urea,Limited Chemical + Neem,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0052,Soybean,258.25,Manual,Loamy,Rabi,Rice,Wheat,Wheat,62.5,5.85,1.04,69375.0,56.31,1.51,6.64,247,51.49,Chemical,Chemical,NPK,Chemical Fungicides,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0053,Potato,69.78,Manual,Sandy,Zaid,Potato,Maize,Soybean,62.5,0.5,0.92,17961.64,16.09,1.98,6.79,279,86.07,Chemical,Chemical,MOP,Chemical Fungicides,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0054,Barley,183.68,Drip,Clay,Kharif,Maize,Potato,Potato,52.5,3.32,2.13,30992.51,32.77,1.59,5.64,286,60.7,Chemical,Chemical,NPK,Chemical Fungicides,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0055,Cotton,393.94,Rain-fed,Silty,Zaid,Maize,Wheat,Cotton,52.5,7.62,4.71,45237.28,63.86,4.03,5.65,2,26.39,Chemical,Chemical,Urea,Chemical Herbicides,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0056,Soybean,305.36,Sprinkler,Loamy,Rabi,Rice,Wheat,Maize,80.0,6.12,2.92,50768.57,72.97,3.7,6.89,344,38.47,Chemical,Chemical,MOP,Chemical Fungicides,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0057,Tomato,182.71,Rain-fed,Sandy,Rabi,Soybean,Soybean,Soybean,65.0,2.05,2.14,19129.89,100.48,4.46,6.95,47,69.15,Chemical,Chemical,MOP,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0058,Wheat,388.51,Sprinkler,Silty,Zaid,Rice,Soybean,Wheat,62.5,7.38,3.03,72999.85,119.75,1.72,6.13,340,29.45,Mixed,Chemical,Urea + Compost,Chemical Herbicides,"{'fertilizer': 'Urea + Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0059,Rice,105.75,Rain-fed,Sandy,Kharif,Legumes,Wheat,Wheat,62.5,1.54,0.72,9311.92,26.25,1.54,5.59,343,86.81,Chemical,Chemical,Urea,Chemical Herbicides,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Better water retention'}"
F0060,Sugarcane,204.21,Rain-fed,Loamy,Rabi,Soybean,Sugarcane,Potato,62.5,3.22,3.27,19818.45,85.52,3.68,7.07,140,55.65,Chemical,Chemical,DAP,Chemical Fungicides,"{'fertilizer': 'Compost', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0061,Carrot,239.79,Manual,Clay,Rabi,Carrot,Soybean,Wheat,62.5,3.95,4.01,57117.33,89.72,1.44,5.75,244,36.57,Chemical,Chemical,NPK,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0062,Potato,463.08,Flood,Clay,Kharif,Maize,Potato,Maize,35.0,8.69,5.0,156561.34,94.98,2.6,7.37,327,6.85,Organic,Chemical,Green Manure,Chemical Herbicides,"{'fertilizer': 'Green Manure', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0063,Sugarcane,24.18,Sprinkler,Peaty,Kharif,Sugarcane,Potato,Sugarcane,35.0,0.5,0.1,4773.58,9.23,2.89,6.18,10,97.67,Chemical,Chemical,Urea,Synthetic Insecticides,"{'fertilizer': 'Compost', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0064,Tomato,58.35,Rain-fed,Silty,Zaid,Maize,Soybean,Maize,62.5,1.7,1.09,4761.6,30.95,3.99,7.3,18,84.8,Organic,Organic,Bio-fertilizer,Herbal Pesticides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0065,Barley,255.68,Sprinkler,Silty,Rabi,Soybean,Soybean,Soybean,65.0,3.76,3.07,60323.2,49.74,2.84,6.25,48,42.54,Organic,Chemical,Green Manure,Chemical Herbicides,"{'fertilizer': 'Green Manure', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0066,Maize,296.72,Flood,Peaty,Rabi,Maize,Potato,Wheat,52.5,4.0,2.07,74697.1,96.84,4.68,6.18,360,47.14,Chemical,Chemical,DAP,Chemical Fungicides,"{'fertilizer': 'Compost', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0067,Maize,55.94,Drip,Silty,Kharif,Maize,Wheat,Wheat,35.0,0.52,1.06,9255.0,20.04,4.18,6.29,116,87.01,Chemical,Mixed,DAP,Integrated Pest Management,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0068,Barley,111.14,Drip,Sandy,Kharif,Potato,Maize,Potato,52.5,1.35,0.74,14987.98,27.7,3.15,5.91,334,85.24,Chemical,Chemical,MOP,Chemical Herbicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0069,Carrot,46.92,Drip,Clay,Rabi,Carrot,Maize,Carrot,35.0,1.11,0.45,7972.07,13.2,3.37,6.55,2,91.07,Chemical,Mixed,NPK,Limited Chemical + Neem,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0070,Potato,437.92,Flood,Loamy,Rabi,Maize,Maize,Maize,35.0,10.0,3.18,131002.87,105.23,1.14,6.46,174,15.39,Mixed,Mixed,NPK + Bio-fertilizer,Limited Chemical + Neem,"{'fertilizer': 'NPK + Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0071,Barley,127.12,Drip,Sandy,Zaid,Potato,Barley,Soybean,62.5,2.94,0.71,22728.15,32.49,1.97,7.09,311,77.5,Chemical,Chemical,NPK,Chemical Fungicides,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0072,Barley,194.16,Manual,Loamy,Zaid,Barley,Soybean,Barley,45.0,2.89,2.05,51196.68,45.78,1.85,6.66,288,56.2,Chemical,Chemical,DAP,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0073,Tomato,367.88,Drip,Loamy,Zaid,Wheat,Tomato,Tomato,35.0,10.0,1.96,46036.9,170.61,1.88,6.79,31,39.21,Organic,Chemical,Bio-fertilizer,Chemical Herbicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0074,Barley,384.53,Sprinkler,Silty,Rabi,Potato,Potato,Potato,35.0,10.0,2.48,74332.45,59.61,2.52,6.97,284,27.61,Chemical,Chemical,Urea,Chemical Herbicides,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0075,Tomato,331.63,Flood,Loamy,Kharif,Wheat,Maize,Tomato,52.5,8.61,4.63,113661.7,123.98,2.2,5.8,222,12.27,Chemical,Chemical,NPK,Chemical Herbicides,"{'fertilizer': 'Compost', 'transition_time': '6 months', 'expected_benefit': 'Better water retention'}"
F0076,Potato,284.4,Sprinkler,Clay,Rabi,Soybean,Wheat,Maize,80.0,3.07,3.01,67478.85,87.52,1.97,5.63,310,43.48,Chemical,Chemical,MOP,Synthetic Insecticides,"{'fertilizer': 'Vermicompost', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0077,Soybean,132.7,Drip,Loamy,Rabi,Wheat,Maize,Soybean,72.5,2.51,2.22,22146.16,29.34,3.64,7.14,151,65.54,Chemical,Chemical,Urea,Synthetic Insecticides,"{'fertilizer': 'Green Manure', 'transition_time': '6 months', 'expected_benefit': 'Improved soil health'}"
F0078,Rice,255.98,Sprinkler,Silty,Rabi,Wheat,Rice,Rice,35.0,4.23,2.53,52681.05,91.3,3.4,6.04,168,46.88,Organic,Mixed,Green Manure,Limited Chemical + Neem,"{'fertilizer': 'Green Manure', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0079,Barley,12.61,Drip,Loamy,Rabi,Soybean,Barley,Soybean,55.0,0.5,0.1,2021.26,2.7,2.78,6.68,360,98.55,Organic,Organic,Compost,Biological Control,"{'fertilizer': 'Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0080,Wheat,476.71,Drip,Peaty,Rabi,Potato,Wheat,Wheat,35.0,9.59,4.42,69191.29,151.01,4.83,7.27,108,18.23,Chemical,Chemical,NPK,Synthetic Insecticides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0081,Tomato,341.08,Sprinkler,Silty,Zaid,Tomato,Tomato,Tomato,17.5,6.47,2.16,59277.65,124.7,1.22,5.88,8,41.96,Chemical,Chemical,DAP,Chemical Fungicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': '3 months', 'expected_benefit': 'Improved soil health'}"
F0082,Rice,240.93,Rain-fed,Sandy,Rabi,Rice,Wheat,Wheat,35.0,4.69,2.67,23818.54,69.8,2.03,6.89,29,53.89,Chemical,Chemical,MOP,Chemical Herbicides,"{'fertilizer': 'Green Manure', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0083,Tomato,230.23,Rain-fed,Sandy,Rabi,Tomato,Maize,Tomato,35.0,3.36,3.12,26967.59,118.25,4.89,5.76,290,53.65,Organic,Chemical,Bio-fertilizer,Chemical Herbicides,"{'fertilizer': 'Bio-fertilizer', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
F0084,Barley,31.16,Rain-fed,Loamy,Zaid,Potato,Maize,Barley,52.5,0.5,0.27,2614.29,7.58,4.29,7.03,282,96.99,Chemical,Chemical,MOP,Chemical Fungicides,"{'fertilizer': 'Vermicompost', 'transition_time': '3 months', 'expected_benefit': 'Enhanced soil microbiome'}"
F0085,Soybean,468.68,Rain-fed,Loamy,Kharif,Soybean,Maize,Wheat,72.5,6.61,4.39,47113.07,96.99,2.23,7.29,18,29.4,Organic,Chemical,Compost,Chemical Herbicides,"{'fertilizer': 'Compost', 'transition_time': 'Already sustainable', 'expected_benefit': 'Maintaining good practices'}"
